[2026-05-19 19:34:26] PRICE=0.00023030 | MC=230387 | LIQ=40298 | B1h=2340 S1h=1760 | B6h=10421 S6h=8234
[2026-05-19 19:34:32] PRICE=0.00023030 | MC=230387 | LIQ=40298 | B1h=2340 S1h=1760 | B6h=10421 S6h=8234
[2026-05-19 19:34:37] PRICE=0.00023030 | MC=230387 | LIQ=40298 | B1h=2340 S1h=1760 | B6h=10421 S6h=8234
[2026-05-19 19:34:42] PRICE=0.00023030 | MC=230387 | LIQ=40298 | B1h=2340 S1h=1760 | B6h=10421 S6h=8234
[2026-05-19 19:34:47] PRICE=0.00023030 | MC=230387 | LIQ=40298 | B1h=2340 S1h=1760 | B6h=10421 S6h=8234
[2026-05-19 19:34:52] PRICE=0.00023030 | MC=230387 | LIQ=40298 | B1h=2340 S1h=1760 | B6h=10421 S6h=8234
[2026-05-19 19:34:58] PRICE=0.00021930 | MC=219373 | LIQ=39328 | B1h=2353 S1h=1767 | B6h=10434 S6h=8241
[2026-05-19 19:35:03] PRICE=0.00021930 | MC=219373 | LIQ=39328 | B1h=2353 S1h=1767 | B6h=10434 S6h=8241
[2026-05-19 19:35:08] PRICE=0.00021930 | MC=219373 | LIQ=39328 | B1h=2353 S1h=1767 | B6h=10434 S6h=8241
[2026-05-19 19:35:13] PRICE=0.00021930 | MC=219373 | LIQ=39328 | B1h=2353 S1h=1767 | B6h=10434 S6h=8241
[2026-05-19 19:35:18] PRICE=0.00021930 | MC=219373 | LIQ=39328 | B1h=2353 S1h=1767 | B6h=10434 S6h=8241
[2026-05-19 19:35:23] PRICE=0.00021930 | MC=219373 | LIQ=39328 | B1h=2353 S1h=1767 | B6h=10434 S6h=8241
[2026-05-19 19:35:29] PRICE=0.00021490 | MC=214987 | LIQ=38954 | B1h=2331 S1h=1758 | B6h=10447 S6h=8247
[2026-05-19 19:35:34] PRICE=0.00021490 | MC=214987 | LIQ=38954 | B1h=2331 S1h=1758 | B6h=10447 S6h=8247
[2026-05-19 19:35:39] PRICE=0.00021490 | MC=214987 | LIQ=38954 | B1h=2331 S1h=1758 | B6h=10447 S6h=8247
[2026-05-19 19:35:44] PRICE=0.00021490 | MC=214987 | LIQ=38954 | B1h=2331 S1h=1758 | B6h=10447 S6h=8247
[2026-05-19 19:35:49] PRICE=0.00021490 | MC=214987 | LIQ=38954 | B1h=2331 S1h=1758 | B6h=10447 S6h=8247
[2026-05-19 19:35:55] PRICE=0.00021490 | MC=214987 | LIQ=38954 | B1h=2331 S1h=1758 | B6h=10447 S6h=8247
[2026-05-19 19:36:00] PRICE=0.00022320 | MC=223295 | LIQ=39713 | B1h=2352 S1h=1764 | B6h=10468 S6h=8253
[2026-05-19 19:36:05] PRICE=0.00022320 | MC=223295 | LIQ=39713 | B1h=2352 S1h=1764 | B6h=10468 S6h=8253
[2026-05-19 19:36:10] PRICE=0.00022320 | MC=223295 | LIQ=39713 | B1h=2352 S1h=1764 | B6h=10468 S6h=8253
[2026-05-19 19:36:15] PRICE=0.00022320 | MC=223295 | LIQ=39713 | B1h=2352 S1h=1764 | B6h=10468 S6h=8253
[2026-05-19 19:36:21] PRICE=0.00022320 | MC=223295 | LIQ=39713 | B1h=2352 S1h=1764 | B6h=10468 S6h=8253
