[2026-05-19 22:29:41] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:46] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:52] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:29:57] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:02] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:07] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:13] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:19] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:24] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:29] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:34] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:40] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:45] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:50] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:30:56] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
[2026-05-19 22:31:01] PRICE=0.00233600 | MC=2336212 | LIQ=110570 | B1h=16 S1h=5 | B6h=17 S6h=5
